Spine,Title,Netflix Streaming,URL,Director,Country,Year,Parent
475,The Friends of Eddie Coyle,false,http://www.netflix.com/Movie/The_Friends_of_Eddie_Coyle/70117956,Peter Yates,,1973,
476,The Curious Case of Benjamin Button,false,http://www.netflix.com/Movie/The_Curious_Case_of_Benjamin_Button/70100380,David Fincher,United States,2008,
477,Bergman Island,false,http://www.netflix.com/Movie/Bergman_Island/70059030,Marie Nyreröd,Sweden,2006,
478,Last Year at Marienbad,false,http://www.netflix.com/Movie/Last_Year_at_Marienbad/60035927,Alain Resnais,France,1961,
479,My Dinner with André,false,http://www.netflix.com/Movie/My_Dinner_with_Andre/70118966,Louis Malle,United States,1981,
480,The Human Condition,false,http://www.netflix.com/Movie/The_Human_Condition/70120615,Masaki Kobayashi,Japan,1959,
481,Made in U.S.A,false,http://www.netflix.com/Movie/Made_in_U.S.A./70119187,Jean-Luc Godard,France,1966,
482,2 or 3 Things I Know About Her,false,http://www.netflix.com/Movie/2_or_3_Things_I_Know_About_Her/70120234,Jean-Luc Godard,France,1967,
483,Repulsion,false,http://www.netflix.com/Movie/Repulsion/70120315,Roman Polanski,United Kingdom,1965,
484,"Jeanne Dielman, 23, Quai du Commerce, 1080 Bruxelles",true,http://www.netflix.com/Movie/Jeanne_Dielman_23_Quai_du_Commerce_1080_Bruxelles/70113670,Chantal Akerman,Belgium,1975,
485,The Last Days of Disco,false,http://www.netflix.com/Movie/The_Last_Days_of_Disco/11819630,Whit Stillman,United States,1998,
486,Homicide,false,http://www.netflix.com/Movie/Homicide/60034969,David Mamet,United States,1991,
487,That Hamilton Woman,true,http://www.netflix.com/Movie/That_Hamilton_Woman/60010985,Alexander Korda,United Kingdom,1941,
488,Howards End,false,http://www.netflix.com/Movie/Howards_End/70124682,James Ivory,United Kingdom,1992,
489,Monsoon Wedding ,true,http://www.netflix.com/Movie/Monsoon_Wedding/60022269,Mira Nair,India,2001,
490,Wings of Desire,true,http://www.netflix.com/Movie/Wings_of_Desire/70124578,Wim Wenders,Germany,1987,
491,Z,true,http://www.netflix.com/Movie/Z/70124581,Costa-Gavras,France,1969,
492,A Christmas Tale,false,http://www.netflix.com/Movie/A_Christmas_Tale/70105783,Arnaud Desplechin,France,2008,
493,Gomorrah,true,http://www.netflix.com/Movie/Gomorrah/70100401,Matteo Garrone,Italy,2008,
494,Downhill Racer,false,http://www.netflix.com/Movie/Downhill_Racer/70042321,Michael Ritchie,United States,1969,
495,The Golden Age of Television,false,http://www.netflix.com/Movie/The_Golden_Age_of_Television/70125893,,United States,,
496,Che,true,http://www.netflix.com/Movie/Che/70100399,Steven Soderbergh,United States,2008,
500,Roberto Rossellini’s War Trilogy,,,,,,
,,,,Roberto Rossellini,Italy,,
500,Rome Open City,true,http://www.netflix.com/Movie/Rome_Open_City/70128031,Roberto Rossellini,Italy,1945,500
500,Paisan,false,http://www.netflix.com/Movie/Paisan/60010762,Roberto Rossellini,Italy,1946,500
500,Germany Year Zero,false,http://www.netflix.com/Movie/Germany_Year_Zero/70130330,Roberto Rossellini,Italy,1948,500
501,"Paris, Texas",true,http://www.netflix.com/Movie/Paris_Texas/70128012,Wim Wenders,Germany,1984,
502,Revanche,true,http://www.netflix.com/Movie/Revanche/70108553,Götz Spielmann,Austria,2008,
503,Lola Montès,true,http://www.netflix.com/Movie/Lola_Montes/70129120,Max Ophuls,France,1955,
504,Hunger,false,http://www.netflix.com/Movie/Hunger/70108808,Steve McQueen,United Kingdom,2008,
505,Make Way for Tomorrow ,false,http://www.netflix.com/Movie/Make_Way_for_Tomorrow/70128674,Leo McCarey,United States,1937,
506,Dillinger Is Dead,false,http://www.netflix.com/Movie/Dillinger_Is_Dead/70128223,Marco Ferreri,Italy,1969,
507,Bigger Than Life,false,http://www.netflix.com/Movie/Bigger_Than_Life/70129586,Nicholas Ray,United States,1956,
508,Letters from Fontainhas: Three Films by Pedro Costa,,,,,,
,,,,Pedro Costa,Portugal,,
509,Ossos,false,http://www.netflix.com/Movie/Ossos/70129587,Pedro Costa,Portugal,1997,508
510,In Vanda's Room,false,http://www.netflix.com/Movie/In_Vanda_s_Room/70129588,Pedro Costa,Portugal,2000,508
511,Colossal Youth,false,http://www.netflix.com/Movie/Colossal_Youth/70129590,Pedro Costa,Portugal,2006,508
512,Vivre sa vie,false,http://www.netflix.com/Movie/Vivre_Sa_Vie/70132574,Jean-Luc Godard,France,1962,
513,Summer Hours,true,http://www.netflix.com/Movie/Summer_Hours/70095141,Olivier Assayas,France,2008,
514,Ride with the Devil,false,http://www.netflix.com/Movie/Ride_with_the_Devil/60000490,Ang Lee,United States,1999,
515,The Fugitive Kind,false,http://www.netflix.com/Movie/The_Fugitive_Kind/70040967,Sidney Lumet,United States,1960,
516,Stagecoach,true,http://www.netflix.com/Movie/Stagecoach/994286,John Ford,United States,1939,
517,"By Brakhage: An Anthology, Volume Two",false,http://www.netflix.com/Movie/By_Brakhage_An_Anthology_Vol._2/70135300,Stan Brakhage,United States,,
519,Close-up,false,http://www.netflix.com/Movie/Close_Up/70029168,Abbas Kiarostami,Iran,1990,
520,Everlasting Moments,false,http://www.netflix.com/Movie/Everlasting_Moments/70108183,Jan Troell,Sweden,2008,
521,Mystery Train,false,http://www.netflix.com/Movie/Mystery_Train/789528,Jim Jarmusch,United States,1989,
522,Red Desert,false,http://movies.netflix.com/WiMovie/Red-Desert/70137008,Michelangelo Antonioni,Italy,1964,
523,Night Train to Munich,false,http://www.netflix.com/Movie/Night_Train_to_Munich/60010714,Carol Reed,United Kingdom,1940,
524,,,,,,,
525,,,,,,,
526,,,,,,,
527,The Secret of the Grain ,,,Abdellatif Kechiche ,France ,2007,
528,3 Silent Classics by Josef von Sternberg ,,,Josef von Sternberg ,United States ,,
529,,,,,,,
530,,,,,,,
531,,,,,,,
532,Louie Bluie ,,http://movies.netflix.com/WiMovie/Louie-Bluie/70140866,Terry Zwigoff ,United States ,1985,
533,Crumb ,,http://movies.netflix.com/WiMovie/Crumb/409447,Terry Zwigoff ,United States ,1995,
534,L'enfance nue ,,http://movies.netflix.com/WiMovie/L-enfance-Nue/70140867,Maurice Pialat ,France ,1968,
535,Merry Christmas Mr. Lawrence ,,http://movies.netflix.com/WiMovie/Merry-Christmas-Mr.-Lawrence/70142067,Nagisa Oshima ,Japan ,1983,
536,The Thin Red Line ,true,http://movies.netflix.com/WiMovie/The-Thin-Red-Line/18171134,Terrence Malick ,United States ,1998,
537,The Magician ,,http://movies.netflix.com/WiMovie/The-Magician/70007286,Ingmar Bergman ,Sweden ,1958,
538,Paths of Glory ,true,http://movies.netflix.com/WiMovie/Paths-of-Glory/845807,Stanley Kubrick ,United States ,1957,
539,House ,,http://movies.netflix.com/WiMovie/House/70131178,Nobuhiko Obayashi ,Japan ,1977,
540,The Darjeeling Limited ,,http://movies.netflix.com/WiMovie/The-Darjeeling-Limited/70075312,Wes Anderson ,United States ,2007,
541,The Night of the Hunter ,,http://movies.netflix.com/WiMovie/The-Night-of-the-Hunter/804679,Charles Laughton ,United States ,1955,
542,Antichrist ,true,http://movies.netflix.com/WiMovie/Antichrist/70117549,Lars von Trier ,Denmark ,2009,
543,Modern Times ,,http://movies.netflix.com/WiMovie/Modern-Times/60028129,Charlie Chaplin ,United States ,1936,
544,,,,,,,
545,,,,,,,
546,,,,,,,
547,,,,,,,
548,,,,,,,
549,,,,,,,
550,,,,,,,
551,Cronos ,,http://movies.netflix.com/WiMovie/Cronos/70154855,Guillermo del Toro ,Mexico ,1993,
552,Broadcast News ,true,http://movies.netflix.com/WiMovie/Broadcast-News/333377,James L. Brooks ,United States ,1987,
553,Fish Tank ,,http://movies.netflix.com/WiMovie/Fish-Tank/70118769,Andrea Arnold ,United Kingdom ,2009,
554,Still Walking ,true,http://movies.netflix.com/WiMovie/Still-Walking/70109146,Hirokazu Kore-eda ,Japan ,2008,
555,Sweet Smell of Success ,,http://movies.netflix.com/WiMovie/Sweet-Smell-of-Success/60020641,Alexander Mackendrick ,United States ,1957,
556,Senso ,,,Luchino Visconti ,Italy ,1954,
557,,,,,,,
558,,,,,,,
559,,,,,,,
560,,,,,,,
561,,,,,,,
562,,,,,,,
563,,,,,,,
564,,,,,,,
565,,,,,,,
566,,,,,,,
567,,,,,,,
568,,,,,,,
569,,,,,,,
570,,,,,,,
571,,,,,,,
572,,,,,,,
573,,,,,,,
574,,,,,,,
575,,,,,,,
576,,,,,,,
577,,,,,,,
578,,,,,,,
579,,,,,,,
580,,,,,,,
581,,,,,,,
582,,,,,,,
583,,,,,,,
584,,,,,,,
585,,,,,,,
586,,,,,,,
587,,,,,,,
588,,,,,,,
589,,,,,,,
590,,,,,,,
591,,,,,,,
592,,,,,,,
593,,,,,,,
594,,,,,,,
595,,,,,,,
596,,,,,,,
597,,,,,,,
598,,,,,,,
599,,,,,,,
600,,,,,,,
