Spine,Title,Netflix Streaming,URL,Director,Country,Year,Parent
75,Chasing Amy,false,http://www.netflix.com/Movie/Chasing_Amy/1151188,Kevin Smith,United States,1997,
76,Brief Encounter,true,http://www.netflix.com/Movie/Brief_Encounter/60000295,David Lean,United Kingdom,1945,
77,And God Created Woman,false,http://www.netflix.com/Movie/And_God_Created_Woman/60001740,Roger Vadim,France,1956,
78,The Bank Dick,false,http://www.netflix.com/Movie/The_Bank_Dick/60001628,Edward Cline,United States,1940,
79,W. C. Fields—Six Short Films,false,http://www.netflix.com/Movie/W.C._Fields_Six_Short_Films/60001627,Monte Brice…,United States,1933,
80,The Element of Crime,false,http://www.netflix.com/Movie/The_Element_of_Crime/60001929,Lars von Trier,Denmark,1984,
81,Variety Lights,false,http://www.netflix.com/Movie/Variety_Lights/60001629,Federico Fellini…,Italy,1950,
82,Hamlet,true,http://www.netflix.com/Movie/Laurence_Olivier_s_Hamlet/60001860,Laurence Olivier,United Kingdom,1948,
83,The Harder They Come,false,http://www.netflix.com/Movie/The_Harder_They_Come/60001914,Perry Henzell,United States,1973,
84,Good Morning,false,http://www.netflix.com/Movie/Yasujiro_Ozu_s_Good_Morning/60001845,Yasujiro Ozu,Japan,1959,
85,Pygmalion,false,http://www.netflix.com/Movie/Pygmalion/60001846,Anthony Asquith…,United Kingdom,1938,
86,Eisenstein: The Sound Years: Alexander Nevsky,true,http://www.netflix.com/Movie/Alexander_Nevsky/240003,Sergei Eisenstein,,,
86,Eisenstein: The Sound Years: Ivan the Terrible,true,http://www.netflix.com/Movie/Ivan_the_Terrible/60030371,Sergei Eisenstein,,,
89,Sisters,true,http://www.netflix.com/Movie/Sisters/60002455,Brian De Palma,United States,1973,
90,Kwaidan,false,http://www.netflix.com/Movie/Kwaidan/60002456,Masaki Kobayashi,Japan,1965,
91,The Blob,false,http://www.netflix.com/Movie/The_Blob/60002718,Irvin S. Yeaworth,United States,1958,
92,Fiend Without a Face,false,http://www.netflix.com/Movie/Fiend_Without_a_Face/60003227,Arthur Crabtree,United States,1958,
93,Black Narcissus,true,http://www.netflix.com/Movie/Black_Narcissus/60002699,Michael Powell…,United Kingdom,1947,
94,I Know Where I’m Going!,true,http://www.netflix.com/Movie/I_Know_Where_I_m_Going/60002700,Michael Powell…,United Kingdom,1945,
95,All That Heaven Allows,false,http://www.netflix.com/Movie/All_That_Heaven_Allows/60020660,Douglas Sirk,United States,1955,
96,Written on the Wind,false,http://www.netflix.com/Movie/Written_on_the_Wind/60000743,Douglas Sirk,United States,1956,
97,Do the Right Thing,true,http://www.netflix.com/Movie/Do_the_Right_Thing/448860,Spike Lee,United States,1989,
98,L'avventura,true,http://www.netflix.com/Movie/L_Avventura/60020648,Michelangelo Antonioni,Italy,1960,
99,Gimme Shelter,false,http://www.netflix.com/Movie/The_Rolling_Stones_Gimme_Shelter/60002833,David Maysles…,United States,1970,
100,Beastie Boys Video Anthology,false,http://www.netflix.com/Movie/Beastie_Boys_Video_Anthology/70045517,Various,United States,2000,
101,Cries and Whispers,false,http://www.netflix.com/Movie/Cries_and_Whispers/60011618,Ingmar Bergman,Sweden,1972,
102,The Discreet Charm of the Bourgeoisie,false,http://www.netflix.com/Movie/The_Discreet_Charm_of_the_Bourgeoisie/60001469,Luis Buñuel,France,1972,
103,The Lady Eve,true,http://www.netflix.com/Movie/The_Lady_Eve/60011208,Preston Sturges,United States,1941,
104,Double Suicide,false,http://www.netflix.com/Movie/Double_Suicide/60004110,Masahiro Shinoda,Japan,1969,
105,Spartacus,false,http://www.netflix.com/Movie/Spartacus/987462,Stanley Kubrick,United States,1960,
106,Coup de torchon,false,http://www.netflix.com/Movie/Clean_Slate/60020483,Bertrand Tavernier,France,1981,
107,Mona Lisa,false,http://www.netflix.com/Movie/Mona_Lisa/60010663,Neil Jordan,United Kingdom,1986,
108,The Rock,true,http://www.netflix.com/Movie/The_Rock/914950,Michael Bay,United States,1996,
109,The Scarlet Empress,false,http://www.netflix.com/Movie/The_Scarlet_Empress/70103866,Josef von Sternberg,United States,1934,
110,M. Hulot’s Holiday,true,http://www.netflix.com/Movie/M._Hulot_s_Holiday/60010677,Jacques Tati,France,1953,
111,Mon oncle,true,http://www.netflix.com/Movie/Mon_Oncle/60033662,Jacques Tati,France,1958,
112,Playtime,true,http://www.netflix.com/Movie/Playtime/60000713,Jacques Tati,France,1967,
