SKY,FLT,DAMAGE,REPORTED_NAME,REMAINS_COLLECTED,BIRDS_SEEN,FAAREGION,REPORTED_DATE,EFFECT_OTHER,REMAINS_SENT,WARNED,INDICATED_DAMAGE,PRECIP,AOS,LOCATION,PHASE_OF_FLT,SPECIES,TYPE_ENG,DISTANCE,ATYPE,EFFECT,HEIGHT,NR_FATALITIES,TIME_OF_DAY,STATE,BIRDS_STRUCK,AC_MASS,AC_CLASS,OPERATOR,SIZE,INCIDENT_DATE,NR_INJURIES,COST_REPAIRS_INFL_ADJ,ENROUTE,RUNWAY,AIRPORT,COMMENTS,COST_OTHER_INFL_ADJ,REMARKS,NUM_ENGS,TIME,SPEED
,374,None (Military),Deleted,FALSE,,ASW,6/9/92,,FALSE,,FALSE,,,,Landing Roll,Unknown bird - medium,Turbofan,0,MD-80,None,0,,,LA,1,4,Airplane,AMERICAN AIRLINES,Medium,6/8/92 0:00,,,,10,LOUIE ARMSTRONG NEW ORLEANS INTL ARPT,,,REPTD BIRD STRIKE AT TD. NO APPARENT DAMAGE. (ARPT REPTD AS NEW BUT SHOULD BE MSY) TIME AND DATE REPTD AS 060992 0001Z. 6/8 LCL TIME.,2,,
Overcast,,None (Military),Deleted,FALSE,2-10,ANE,6/9/92,,FALSE,Y,FALSE,,,,Descent,European starling,Reciprocating (Piston),,PA-28,None,10,,Day,CT,2-10,1,Airplane,EXECUTIVE AIR SERVICE,Small,6/8/92 0:00,,,,17,DANBURY MUNICIPAL ARPT,A/C = PA xx-xxx,,,1,,55
,,None (Military),Deleted,FALSE,1,ASW,5/19/00,,FALSE,,FALSE,,,,Take-off run,,,0,T-37B,,0,,Day,TX,1,,,MILITARY,Medium,6/8/92 0:00,,,,,LUBBOCK PRESTON SMITH INTL ARPT,SOURCE = BASH NR xxxxx,,"REMARKS -  AC 68-7991. RUNWAY 17L.;  AIRCRAFT -  T - 37 - B;  IMPACT -  BOTTOM OF FUSELAGE;  NUMBER OF BIRDS (S, F, or Z) -  S",,18:10,100
,,None (Military),Deleted,FALSE,1,AGL,5/19/00,,FALSE,,FALSE,,,,Take-off run,,,0,C-21A,,0,,Day,IL,1,,Airplane,MILITARY,Medium,6/8/92 0:00,,,,,DECATUR ARPT,SOURCE = BASH NR xxxxx,,"REMARKS -  40071 HDG 060 MAG.;  AIRCRAFT -  C - 21 - ;  IMPACT -  LT ENGINE (SPINNER);  NUMBER OF BIRDS (S, F, or Z) -  S",,14:10,120
No Cloud,,None (Military),,FALSE,1,AEA,,,FALSE,N,FALSE,None,,,Approach,Black-capped chickadee,Turbofan,,B-727-200,None,50,,Day,NY,1,4,Airplane,AMERICAN AIRLINES,Small,6/9/92 0:00,,,,1,ALBANY INTL,SOURCE = TWO xxxx-x REPTS.,,NO DAMAGE. FLT 1438,3,,130
,,,Deleted,TRUE,,ASO,,,FALSE,,FALSE,,,,,Herons,,0,UNKNOWN,,,,,FL,1,,,UNKNOWN,Large,6/9/92 0:00,,,,35L,ORLANDO INTL,,,"NIGHT, 0250 LCL, FOUND BLUE HERON ON W SHOULDER OF RY 35 ABOUT  4000' REMAINING MARK. NO STRIKES REPTD.",,,
,,,Deleted,TRUE,,ASO,,,FALSE,,FALSE,,,,,European starling,,0,UNKNOWN,,,,,FL,1,,,UNKNOWN,Small,6/9/92 0:00,,,,18R,ORLANDO INTL,,,"FOUND 0414 LCL, NIGHT, ON CENTERLINE 18R/36L AT 2200' REMAINING  MARK.",,,
Some Cloud,,None (Military),,FALSE,2-10,ASO,6/9/92,,FALSE,N,FALSE,Rain,,,Take-off run,Gulls,Turbofan,0,FOKKER F28 MK 1000,Aborted Take-off,0,,Day,FL,1,4,Airplane,AMERICAN AIRLINES,Medium,6/9/92 0:00,,,,17,PENSACOLA INTL ARPT,,,NO DAMAGE. FLT 274.,2,,110
No Cloud,,None (Military),,FALSE,1,ASW,6/9/92,,FALSE,N,FALSE,,,,Approach,Unknown bird - small,Turbofan,,MD-80,None,"2,000",,Day,TX,1,4,Airplane,AMERICAN AIRLINES,Small,6/9/92 0:00,,,,12R,SAN ANTONIO INTL,,,NO DAMAGE. STRUCK ABOVE COCKPIT.,2,,160
Overcast,,None (Military),Deleted,FALSE,,AGL,6/9/92,,FALSE,N,FALSE,,,,Landing Roll,Sparrows,Turboprop,0,ATR-42,,0,,Day,IL,1,3,Airplane,SIMMONS AVIATN,Small,6/9/92 0:00,,,,10,CHICAGO O'HARE INTL ARPT,,,NO DAMAGE.,2,,
Overcast,,None (Military),Deleted,FALSE,,ASO,6/9/92,,FALSE,N,FALSE,,,,Climb,Unknown bird - small,Turbofan,,B-737-200,,50,,Day,TN,1,4,Airplane,SOUTHWEST AIRLINES,Small,6/9/92 0:00,,,,,NASHVILLE INTL,,,#1 ENG INGESTED BIRD AT 50' AFTER LIFT-OFF. NO DAMAGE.,2,,160
No Cloud,,Minor (Civilian),Deleted,FALSE,1,ANM,6/9/92,,FALSE,N,TRUE,,,,Approach,Canada goose,Turbofan,,B-737-300,None,"8,000",,Day,UT,1,4,Airplane,DELTA AIR LINES,Large,6/9/92 0:00,,,,34L,SALT LAKE CITY INTL,,,"LARGE BROWN BIRD, GOOSE OR GULL. 3 HAND SIZED DENTS AT JUNCTURE  OF RADOME & FUSELAGE.",2,,190
,,None (Military),,FALSE,,ASW,6/10/92,,FALSE,,FALSE,,,,Approach,Unknown bird - medium,Turbofan,,MD-80,None,,,Night,TX,1,4,Airplane,AMERICAN AIRLINES,Medium,6/9/92 0:00,,,,12R,SAN ANTONIO INTL,,,FLT 1497 HAD A BIRD STRIKE 1/2 MI FINAL. NO DAMAGE REPTD.,2,,
,,None (Military),Deleted,FALSE,,ANM,6/10/92,,FALSE,,FALSE,,,,Take-off run,Gulls,Turbofan,0,B-757-200,Precautionary Landing,0,,Night,UT,1,4,Airplane,DELTA AIR LINES,Medium,6/9/92 0:00,,,,,SALT LAKE CITY INTL,,,FLT 815 REPTD BIRD STRIKE AT ROTATION. LANDED W/O INCIDENT.  STRIKE WAS JUST BELOW CAPT'S WINDOW. A/C RE-DEPTD AT 2215MDT.,2,,
No Cloud,,Substantial (Civilian),Deleted,FALSE,1,AGL,6/12/92,,FALSE,,TRUE,None,12,,Climb,Gulls,Turbofan,,DA-20 FALCON,None,"2,000",,Day,MI,1,3,Airplane,BUSINESS,Medium,6/9/92 0:00,,"214,305",,,DETROIT METRO WAYNE COUNTY ARPT,,,9 STATOR VANES DAMAGED. INFO FROM REG NO. SHOWS ENG AS GECF700.,2,,200
No Cloud,,None (Military),Deleted,FALSE,,AEA,,,FALSE,N,FALSE,None,,,Approach,Gulls,Turbofan,,DC-10,,900,,Night,NY,2-10,4,Airplane,AMERICAN AIRLINES,Medium,6/10/92 0:00,,,,,JOHN F KENNEDY INTL,,,NO DAMAGE NOTED. HIT 2 GULLS.,3,,150
No Cloud,,Destroyed (Civilian),Deleted,FALSE,2-10,,,"EVASIVE MANEUVER, LOST CONTROL",FALSE,N,TRUE,None,,"KLAMATH FALLS, OR",En Route,Unknown bird - medium,Reciprocating (Piston),,G-164 AG CAT,Other,,,Day,,,1,Airplane,PRIVATELY OWNED,Medium,6/10/92 0:00,1,"197,339",OR,,UNKNOWN,OPERATOR = R F YANCY A/C = G-xxxB,,"AT THE END OF AN AERIAL APPLICATION FLIGHT, PILOT REPTD THAT HE WAS PARALLELING A ROAD, FOLLOWING HIS SON IN A PICK UP TRUCK. THE  TRUCK DISTURBED A FLOCK OF BIRDS THAT TOOK FLT. WHEN THE PILOT  SAW THE BIRDS HE TOOK EVASIVE ACTION & STRUCK THE CAB OF THE  TRUCK, LOST CONTROL AND COLLIDED INTO A DITCH. MINOR INJURIES.  PLANE WAS DESTROYED. COST 52,000- 169,000. AVG 110500.",1,10:30,
,,<$50K (Military),Deleted,FALSE,1,ASW,5/19/00,,FALSE,,TRUE,,,,Take-off run,,,0,T-38A,,0,,Day,TX,1,,Airplane,MILITARY,Medium,6/10/92 0:00,,"3,145",,,MIDLAND INTL,SOURCE = BASH NR xxxxx,,"REMARKS -  REPLACED #1 ENGINE.;  AIRCRAFT -  T - 38 - ;  IMPACT -  #1 ENGINE.;  NUMBER OF BIRDS (S, F, or Z) -  S",,14:20,165
No Cloud,,None (Military),Deleted,FALSE,1,ASW,6/11/92,,FALSE,N,FALSE,None,,,Approach,Unknown bird - small,Turbofan,,MD-83,None,10,,Day,TX,1,4,Airplane,AMERICAN AIRLINES,Small,6/11/92 0:00,,,,13R,DALLAS/FORT WORTH INTL ARPT,,,SAW BIRD & HEARD IT HIT AFT OF CAPT'S WINDOW. GROUND VEHICLE  COULDN'T FIND BIRD. NO DAMAGE FOUND.,2,,135
Some Cloud,,None (Military),Deleted,FALSE,2-10,ASW,6/11/92,,FALSE,N,FALSE,Fog,,,Landing Roll,Unknown bird - small,Turbofan,0,MD-80,None,0,,Day,AR,1,4,Airplane,AMERICAN AIRLINES,Small,6/11/92 0:00,,,,22L,BILL AND  HILLARY CLINTON NATL ARPT/ADAMS FIELD,,,NO DAMAGE TO A/C.,2,,
No Cloud,,None (Military),Deleted,FALSE,2-10,AGL,6/11/92,,FALSE,Y,FALSE,,,,Approach,Gulls,Turbofan,,DC-10,None,"1,400",,Day,MI,2-10,4,Airplane,NORTHWEST AIRLINES,Medium,6/11/92 0:00,,,,22L,DETROIT METRO WAYNE COUNTY ARPT,,,BIRD ADVISORY ON ATIS. FLT 153.,3,,140
Some Cloud,,None (Military),Deleted,FALSE,,ASW,6/12/92,,FALSE,N,FALSE,,,,Take-off run,Unknown bird - small,Turbofan,0,CITATION II,,0,,Day,TX,1,3,Airplane,BUSINESS,Small,6/11/92 0:00,,,,,DALLAS/FORT WORTH INTL ARPT,OPERATOR = DILLARD DEPT. STORES,,,2,,
No Cloud,,None (Military),Deleted,FALSE,1,ANE,6/15/92,,FALSE,N,FALSE,None,,,Approach,Double-crested cormorant,Turbofan,,DC-9-30,None,75,,Day,MA,1,4,Airplane,NORTHWEST AIRLINES,Large,6/11/92 0:00,,,,,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,,,FLT 804. NO DAMAGE.,2,,150
Some Cloud,,None (Military),Deleted,FALSE,,AWP,6/16/92,,FALSE,Y,FALSE,,,,Landing Roll,Unknown bird - small,Turbofan,0,MD-80,,0,,Day,CA,1,4,Airplane,AMERICAN AIRLINES,Small,6/11/92 0:00,,,,,NORMAN Y. MINETA SAN JOSE INTL ARPT,,,,2,,
No Cloud,,None (Military),,FALSE,2-10,ASW,6/19/92,,FALSE,N,FALSE,,,,Landing Roll,Unknown bird - medium,Turbofan,0,MD-82,None,0,,Day,TX,2-10,4,Airplane,AMERICAN AIRLINES,Medium,6/11/92 0:00,,,,13R,DALLAS/FORT WORTH INTL ARPT,,,,2,,110
,,None (Military),Deleted,FALSE,1,ASW,5/19/00,,FALSE,,FALSE,,,,Take-off run,,,0,T-1A,,0,,Day,TX,1,,Airplane,MILITARY,Medium,6/11/92 0:00,,,,,LUBBOCK PRESTON SMITH INTL ARPT,SOURCE = BASH NR xxxxx,,"REMARKS -  AC 0402 . RUNWAY 17C.;  AIRCRAFT -  T - 1 - ;  IMPACT -  RT GEAR STRUT.;  NUMBER OF BIRDS (S, F, or Z) -  S",,13:25,100
No Cloud,,None (Military),,FALSE,2-10,ASO,,,FALSE,N,FALSE,None,,,Approach,Unknown bird - medium,Turboprop,,SAAB-340,,200,,Day,KY,2-10,3,Airplane,COMAIR AIRLINES,Medium,6/12/92 0:00,,,,,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,,,NO DAMAGE. MED BROWN BIRDS.,2,,110
Some Cloud,,Minor (Civilian),,FALSE,1,AEA,,,FALSE,N,TRUE,,,,Approach,Mallard,Turbofan,,FOKKER F28 MK 1000,None,15,,Day,MD,1,4,Airplane,1US AIRWAYS,Medium,6/12/92 0:00,,,,10,BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,,,THERE WAS DAMAGE TO L WIND ROOT.  DUCK WAS INGSTED INTO #1 ENG.  NO ENG. ABNORMALITIES.,2,,135
No Cloud,,,Deleted,FALSE,1,AWP,6/12/92,,FALSE,N,FALSE,,,,Landing Roll,Unknown bird - medium,Turbofan,0,MD-80,None,0,,Day,CA,1,4,Airplane,AMERICAN AIRLINES,Medium,6/12/92 0:00,,,,30L,NORMAN Y. MINETA SAN JOSE INTL ARPT,(x/x/xx UPDATED AIRCRAFT NAME),,"RT ENG INGESTED BIRD, A/C TAKEN OUT OF SERVICE. UNKN IF ANY  DAMAGE.",2,,135
No Cloud,,Substantial (Civilian),Deleted,FALSE,1,AEA,6/12/92,,FALSE,N,TRUE,None,,,Take-off run,Unknown bird - medium,Turboprop,0,BA-31 JETSTR,Aborted Take-off,0,,Day,VA,1,2,Airplane,ATLANTIC COAST AIRLINES,Medium,6/12/92 0:00,,,,7,NEWPORT NEWS/WILLIAMSBURG INTL,SOURCE = TWO xxxx-x REPTS. & AC INCIDENT REPT.,,FLT 646 ABORTED T/O AT 0728E DUE TO BIRD INGESTION IN RT ENG.  &  RETD TO GATE W/O INCIDENT.  A/C UNABLE TO CONTINUE SVC. ENG WAS  REPLACED. NO INJURIES.,2,,105
,,Minor (Civilian),Deleted,FALSE,,AEA,6/13/92,,FALSE,,TRUE,,,,Landing Roll,White-tailed deer,Reciprocating (Piston),0,PA-32,,0,,Day,NY,1,1,Airplane,PRIVATELY OWNED,Large,6/12/92 0:00,,,,28,ONEIDA COUNTY ARPT,"OPERATOR = LEONARD JUSTICE, PILOT. SOURCE =  GA INCIDENT REPT & ASIAS BRIEF REPT xxxxxxxxxxxxxxG (x/xx/xx UPDATED DATE WITH ASIAS)",,MINOR DAMAGE TO PROP & NOSE GEAR. NO INJURIES. HIT A DEER ON LDG ROLLOUT,1,20:00,
No Cloud,,None (Military),,FALSE,1,AEA,6/15/92,,FALSE,N,FALSE,None,,,Take-off run,Unknown bird - medium,Turboprop,0,SHORTS 360,None,0,,Day,PA,1,3,Airplane,ALLEGHENY AIRLINES,Medium,6/12/92 0:00,,,,,LEHIGH VALLEY INTL,OPERATOR = US AIR COMMUTER,,NO DAMAGE REPTD BY PILOT,2,,100
,,None (Military),Deleted,FALSE,2-10,ASO,5/19/00,,FALSE,,FALSE,,,,Climb,Unknown bird - medium,,,C-130H,,50,,Day,AL,2-10,,Airplane,MILITARY,Medium,6/12/92 0:00,,,,,BIRMINGHAM-SHUTTLESWORTH INTL,SOURCE = BASH NR xxxxx,,"REMARKS -  FAA REPORT    SOME TYPE OF BLACK BIRD;  AIRCRAFT -  C - 130 - H;  IMPACT -  FUSELAGE ABOVE WINDSHIELD;  NUMBER OF BIRDS (S, F, or Z) -  F",,,150
,,None (Military),,FALSE,,ASO,,,FALSE,N,FALSE,,,,,Unknown bird - medium,Turboprop,,SAAB-340,,,,Day,FL,1,3,Airplane,NASHVILLE EAGLE,Medium,6/13/92 0:00,,,,,KEY WEST INTL ARPT,,,"A/C OK, BIRD DESTROYED.",2,,
No Cloud,,None (Military),Deleted,FALSE,1,ACE,,,FALSE,N,FALSE,None,,,Approach,Unknown bird - small,Turbofan,,B-737,,"1,000",,Night,IA,1,4,Airplane,AMERICA WEST AIRLINES,Small,6/13/92 0:00,,,,,DES MOINES INTL,,,NO DAMAGE. FLT 254.,2,,150
No Cloud,,Substantial (Civilian),Deleted,FALSE,2-10,AGL,,,FALSE,,TRUE,None,,,Landing Roll,White-tailed deer,Reciprocating (Piston),0,PA-28,,0,,Day,MI,1,1,Airplane,PRIVATELY OWNED,Large,6/13/92 0:00,,,,28,CALVIN CAMPBELL MUNICIPAL,,,PILOT SAW 2 OR MORE DEER AT THE SAME INSTANT HE STRUCK 1.  NO  DEER WERE SEEN AS HE FLEW TRAFFIC PATTERN & FINAL APPCH.,1,,
Overcast,,None (Military),,FALSE,,ASO,6/15/92,,FALSE,N,FALSE,Fog,,,Climb,Blackbirds,Turbofan,,DC-9,None,10,,Day,TN,1,4,Airplane,DELTA AIR LINES,Small,6/13/92 0:00,,,,20,LOVELL FIELD ARPT,,,"FLT 719. PILOT REPTD HITTING A SMALL, BLACK BIRD JUST ABOVE  WINDSHLD. THERE WAS NO SUSPECTED DAMAGE. TOWER REPTD NO BIRD  ACTIVITY WAS OBSERVED.  RAIN.",2,,130
Overcast,,None (Military),,FALSE,,ASO,6/17/92,,FALSE,N,FALSE,,,,Approach,European starling,Turboprop,,BA-31 JETSTR,,200,,Day,GA,1,2,Airplane,BUSINESS,Small,6/13/92 0:00,,,,,AUGUSTA REGIONAL ARPT AT BUSH FLD,,,NO DAMAGE.,2,,130
Some Cloud,,None (Military),Deleted,FALSE,1,ASW,6/22/92,,FALSE,N,FALSE,,,,Approach,Unknown bird - medium,Turbofan,,B-737,None,50,,Day,TX,1,4,Airplane,SOUTHWEST AIRLINES,Medium,6/13/92 0:00,,,,,WILLIAM P HOBBY ARPT,,,NO APPARENT DAMAGE TO A/C.,2,,130
No Cloud,,Substantial (Civilian),Deleted,FALSE,,AEA,,,FALSE,Y,TRUE,None,24,,Climb,Gulls,Turbofan,,A-310,Engine Shut Down,200,,Day,NJ,2-10,4,Airplane,LUFTHANSA,Medium,6/14/92 0:00,,,,22R,NEWARK LIBERTY INTL ARPT,SOURCE = TWO xxxx-x REPTS.,,DAMAGE TO RT SIDE OF ENG CASING & FAN BLADES. FLT 407,2,,
,,None (Military),Deleted,FALSE,,ANM,6/14/92,,FALSE,,FALSE,,,,Landing Roll,Unknown bird - medium,Turbofan,0,B-737,None,0,,Day,UT,1,4,Airplane,DELTA AIR LINES,Medium,6/14/92 0:00,,,,,SALT LAKE CITY INTL,,,FLT 1887 REPTD BIRD STRIKE 2000' DOWN RWY. NO DAMAGE REPTD.,2,,
,,None (Military),Deleted,FALSE,,ASW,6/15/92,,FALSE,,FALSE,,,,Landing Roll,Unknown bird - medium,Turbofan,0,MD-80,None,0,,Day,TX,2-10,4,Airplane,AMERICAN AIRLINES,Medium,6/14/92 0:00,,,,13R,DALLAS/FORT WORTH INTL ARPT,,,"FLT 1383 HAD MULTIPLE BIRD STRIKES ON LANDING 0108Z, 6/15/92.  NO  DAMAGE WAS REPTD.",2,,
No Cloud,,None (Military),Deleted,FALSE,,AEA,6/16/92,,FALSE,N,FALSE,,,,Landing Roll,Unknown bird - small,Turbofan,0,MD-80,,0,,Day,PA,2-10,4,Airplane,1US AIRWAYS,Small,6/14/92 0:00,,,,,PHILADELPHIA INTL,,,"FLT 209, NO DAMAGE.",2,,
Some Cloud,,None (Military),,FALSE,2-10,ASO,,,FALSE,N,FALSE,,,,Approach,Blackbirds,Turboprop,,MERLIN III,None,15,,Day,FL,2-10,2,Airplane,COMAIR AIRLINES,Small,6/15/92 0:00,,,,27,TAMPA INTL,,,"FLT 3440, STRUCK 4.",2,,
No Cloud,,None (Military),,FALSE,1,ASW,6/15/92,,FALSE,Y,FALSE,None,,,Landing Roll,Unknown bird - medium,Turbofan,0,MD-82,None,0,,Day,TX,1,4,Airplane,AMERICAN AIRLINES,Medium,6/15/92 0:00,,,,13R,DALLAS/FORT WORTH INTL ARPT,,,IMPACT OCCURRED AT T/D. POSSIBLY CROW.  NO DAMAGE.,2,,127
No Cloud,,None (Military),Deleted,FALSE,1,AEA,6/15/92,,FALSE,N,FALSE,,,,Climb,Unknown bird - small,Turbofan,,DC-9-30,None,10,,Day,PA,1,4,Airplane,1US AIRWAYS,Small,6/15/92 0:00,,,,10C,PITTSBURGH INTL ARPT,,,"BIRD STRUCK FUSELAGE JUST ABOVE F/O'S WINDSHLD. FLT CONTD W/O  INCIDENT TO ACY.  A ROUTINE INSPN WILL BE CONDUCTED. CAPT SAID   NO DENTS OR CRACKS FROM STRIKE, ONLY A LITTLE BLOOD. NO DELAY  ANTICIPATED. TIME = 1324Z",2,,150
No Cloud,194,None (Military),Deleted,FALSE,1,AEA,6/15/92,,FALSE,N,FALSE,None,,,Climb,Unknown bird - small,Turbofan,,DC-9-30,None,50,,Day,PA,1,4,Airplane,1US AIRWAYS,Small,6/15/92 0:00,,,,10C,PITTSBURGH INTL ARPT,,,SPOKE W/ CAPT. PIT-PDV AT 1410Z WHO  STATED THAT A SMALL BIRD STRUCK F/O'S WINDHSLD.  NO DAMAGE & FLT  CONTD TO PVD. MECHANIC WILL INSCT WINDSHLD W/ NO DELAY EXPECTED.,2,,150
Overcast,,None (Military),Deleted,FALSE,1,ANM,6/15/92,,FALSE,N,FALSE,None,,,Take-off run,Unknown bird - small,Turbofan,0,FOKKER F28 MK 1000,None,0,,Day,OR,1,4,Airplane,HORIZON AIR,Small,6/15/92 0:00,,,,10L,PORTLAND INTL (OR),,,NO DAMAGE NOTED.,2,,150
Some Cloud,,None (Military),Deleted,FALSE,,AGL,6/15/92,,FALSE,N,FALSE,None,,,Approach,Sparrows,Turbofan,,DC-10,None,30,,Day,IL,2-10,4,Airplane,UNITED AIRLINES,Small,6/15/92 0:00,,,,10,CHICAGO O'HARE INTL ARPT,,,FLT 165,3,,130
No Cloud,,None (Military),Deleted,FALSE,1,AWP,6/15/92,,FALSE,Y,FALSE,None,,,Landing Roll,Yellow-billed magpie,Turbofan,0,B-737-500,None,0,,Day,CA,1,4,Airplane,SOUTHWEST AIRLINES,Small,6/15/92 0:00,,,,16R,SACRAMENTO INTL,,,,2,,135
Some Cloud,,None (Military),Deleted,FALSE,2-10,ASW,6/15/92,,FALSE,Y,FALSE,,,,Take-off run,Unknown bird - small,Turbofan,0,MD-82,None,0,,Day,TX,1,4,Airplane,AMERICAN AIRLINES,Small,6/15/92 0:00,,,,18L,DALLAS/FORT WORTH INTL ARPT,,,STRUCK LIGHTLY ABOVE UPPER RT F/O'S WINDSHLD. NO DAMAGE.,2,,120
No Cloud,,None (Military),,FALSE,11-100,ASW,6/18/92,,FALSE,Y,FALSE,None,,,Landing Roll,Unknown bird - small,Turbofan,0,MD-82,None,0,,Day,TX,1,4,Airplane,AMERICAN AIRLINES,Small,6/15/92 0:00,,,,13R,DALLAS/FORT WORTH INTL ARPT,,,NO DAMAGE. WARNING ON ATIS. BIRD WAS VERY SMALL.,2,,110
No Cloud,,None (Military),,FALSE,,ASO,,,FALSE,N,FALSE,None,,,Approach,Unknown bird - small,Turboprop,,SAAB-340,,"2,000",,Day,KY,1,3,Airplane,COMAIR AIRLINES,Small,6/16/92 0:00,,,,,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,,,FLT 3056. NO DAMAGE.,2,,150
Some Cloud,,None (Military),,FALSE,2-10,AEA,,DELAYED FLIGHT,FALSE,N,FALSE,None,,,Parked,Rock pigeon,Turbofan,0,B-737-400,Other,0,,Day,NY,1,4,Airplane,1US AIRWAYS,Small,6/16/92 0:00,,,,,LA GUARDIA ARPT,,,"WHEN #2 ENG STARTED, MECHANICS SAW 2 BIRDS IN THE AREA OF THE  ENG. 1 WAS INGESTED. MAINT CHECKED THE ENG & FOUND NO DAMAGE. FLT  WAS DELAYED.",2,,0
Overcast,,None (Military),,FALSE,1,AGL,,,FALSE,Y,FALSE,,,,Landing Roll,Unknown bird - small,Turbofan,0,B-727,,0,,Day,MN,1,4,Airplane,NORTHWEST AIRLINES,Small,6/16/92 0:00,,,,,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN ARPT,,,no damage,3,,
No Cloud,,None (Military),Deleted,FALSE,,AWP,,,FALSE,N,FALSE,None,,,Approach,American kestrel,Turboprop,,C-208,,10,,Day,CA,1,2,Airplane,BUSINESS,Small,6/16/92 0:00,,,,,SANTA BARBARA MUNICIPAL,OPERATOR = MID ATLANTIC FREIGHT,,no damage,1,,100
Some Cloud,,None (Military),Deleted,FALSE,2-10,AGL,6/16/92,,FALSE,,FALSE,None,,,Climb,Unknown bird - small,Turbofan,,MD-82,None,50,,Day,OH,1,4,Airplane,AMERICAN AIRLINES,Small,6/16/92 0:00,,,,10R,PORT COLUMBUS INTL,,,"NO DAMAGE/INJURIES. 2 OR 3 BIRDS DIVED BELOW A/C. FELT NO STRIKE,  NO INDICATIONS OF ANY PROBLEM. REQUESTED A PRECAUTIONARY INSPN  AT KORD.",2,,150
,,None (Military),Deleted,FALSE,,AWP,6/16/92,,FALSE,Y,FALSE,,,,Landing Roll,Gulls,Turbofan,0,LEARJET-35,,0,,Day,CA,1,3,Airplane,BUSINESS,Medium,6/16/92 0:00,,,,,NORMAN Y. MINETA SAN JOSE INTL ARPT,DATE = POSTMARK  OPERATOR = SILICON VALLEY EXP.,,,2,,100
No Cloud,,None (Military),Deleted,FALSE,1,AWP,6/16/92,,FALSE,Y,FALSE,None,,,Climb,Unknown bird - small,Turbofan,,MD-80,None,50,,Day,CA,1,4,Airplane,AMERICAN AIRLINES,Small,6/16/92 0:00,,,,30L,NORMAN Y. MINETA SAN JOSE INTL ARPT,SOURCE = TWO xxxx-x REPTS (x/x/xx UPDATED AIRCRAFT NAME),,,2,,175
No Cloud,,Uncertain (Civilian),,FALSE,1,AWP,6/16/92,,FALSE,Y,TRUE,None,,,Landing Roll,Unknown bird - medium,Turbofan,0,MD-82,,0,,Day,CA,1,4,Airplane,AMERICAN AIRLINES,Medium,6/16/92 0:00,,,,,NORMAN Y. MINETA SAN JOSE INTL ARPT,DATE = POSTMARK.,,DAMAGE TO RT ENG. A/C PULLED FROM SERVICE. EXTENT OF DAMAGE NOT  REPTD. TIME = 1815.,2,,135
No Cloud,,None (Military),Deleted,FALSE,2-10,FGN,6/17/92,,FALSE,N,FALSE,None,,,Climb,Unknown bird - small,Turbofan,,B-767,None,300,,Day,,2-10,4,Airplane,AMERICAN AIRLINES,Small,6/16/92 0:00,,,,17,SANTIAGO INTL,RE-ENTERED x/xx/xxxx,,"# STRUCK NOT REPTD, ASSUME 2-10, SAME AS # SEEN.",2,,160
,,None (Military),Deleted,FALSE,1,ANM,5/19/00,,FALSE,,FALSE,,,,Take-off run,,,0,F-16B,,0,,Day,MT,1,,Airplane,MILITARY,Medium,6/16/92 0:00,,,,,GREAT FALLS INTL,SOURCE = BASH NR xxxxx,,"REMARKS -  ;  AIRCRAFT -  F - 16 - B;  IMPACT -  CANOPY;  NUMBER OF BIRDS (S, F, or Z) -  S",,10:05,150
,,,Deleted,TRUE,,ASO,,,FALSE,,FALSE,,,,,Owls,,0,UNKNOWN,,,,,FL,1,,,UNKNOWN,Medium,6/17/92 0:00,,,,,ORLANDO INTL,,,"FOUND AT 0420 LCL, NIGHT- REMAINS ON RY 35 AT 5300' REMAINING.",,,
Some Cloud,,None (Military),,FALSE,2-10,ASO,6/17/92,,FALSE,Y,FALSE,None,,,Landing Roll,Gulls,Reciprocating (Piston),0,PA-60 600,None,0,,Day,FL,1,2,Airplane,BUSINESS,Medium,6/17/92 0:00,,,,36,ALBERT WHITTED,OPERATOR = CHECK AIR,,NO DAMAGE TO A/C.,2,,90
No Cloud,,None (Military),Deleted,FALSE,1,AWP,6/18/92,,FALSE,N,FALSE,None,,,Approach,Sparrows,Turboprop,,MERLIN III,,200,,Day,CA,1,2,Airplane,SKYWEST AIRLINES,Small,6/17/92 0:00,,,,,SANTA BARBARA MUNICIPAL,,,NO DAMAGE.,2,,140
No Cloud,,None (Military),Deleted,FALSE,1,ANM,6/18/92,,FALSE,N,FALSE,None,,,Landing Roll,Unknown bird - small,Turbofan,0,MD-80,None,0,,Day,CO,1,4,Airplane,AMERICAN AIRLINES,Small,6/17/92 0:00,,,,26L,DENVER STAPLETON ARPT,,,no damage,2,,110
